Place,latitude,longitude,name,desc
Island of Antone,17.07,-25.171,Santo Antao Cape Verde,Santo Antao Cape Verde
Island of Desolation,-62.45775,-60.34675,Island of Desolation,Desolation Island Antarctica
Island of Juan Fernando,-33.7744303,-80.7768613,Island of Juan Fernando,Juan Fernández Región de Valparaíso Chile
Island of Matin Vas,-20.4751677,-28.852398,Island of Matin Vas,Martim Vaz Brazil
Island of Rotuma(?),-12.5025069,177.0724164,Island of Rotuma Fiji,Island of Rotuma Fiji
Island of St Lawrence,63.326105,-170.0183821,Island of St Lawrence,St Lawrence Island Alaska USA
Island of St. Matthew,60.4195763,-172.7448382,Island of St. Matthew,St Matthew Island Alaska USA
Island of St. Paul/Amsterdam Island,-37.8331705,77.5504779,Island of St. Paul/Amsterdam Island,Île Amsterdam
Island of Tehegoula,,,,
Island of “Whytootucke”,,,,
Isle of Bouno(?),,,,
Isle of Brustean de Cana(?),-37.116048,-12.3541879,Tristan da Cunha,Tristan da Cunha
Isle of Flores,-8.6573819,121.0793705,Isle of Flores,Flores East Nusa Tenggara Indonesia
Isle of Inaccessible,-37.3003564,-12.6733009,Isle of Inaccessible,Inaccessible Island Saint Helena Ascension and Tristan da Cunha
Jamsk Gulf,59.5676375,150.7510764,Magadan Russia,Magadan Russia
Jan 20 p. 107 Bay of Wonghui,21.015278,110.386111,Bay of Donghai,Bay of Donghai
 Jan 03 1853 p. 104 Ototake Island,-18.85,-159.79,Aitutaki Cook Islands,Aitutaki Cook Islands
Japan,36.204824,138.252924,Japan,Japan
Japan Islands,26.5,128,Japan Islands,Ryukyu Islands Japan
Japan Sea,38.848848,135,Japan Sea,Sea of Japan (also known as the East Sea)
Japan whaling grounds,38.848848,135,Japan Sea,Sea of Japan (also known as the East Sea)
Java,6.229385,106.6890876,Java,Java Indonesia
Jonas (Iony) Island,56.4097,143.3815,Jonas (Iony) Island,Iony Island Russia
Jonas Island,56.4097,143.3815,Jonas (Iony) Island,Iony Island Russia
Juan Fernandez,-33.7744303,-80.7768613,Juan Fernandez,Juan Fernández Región de Valparaíso Chile
Juan Fernandez Island,-33.7744303,-80.7768613,Juan Fernandez Island,Juan Fernández Región de Valparaíso Chile
Juan Fernandez Islands,-33.7744303,-80.7768613,Juan Fernandez Islands,Juan Fernández Región de Valparaíso Chile
